iter	Passed	Remaining
185	1938	8483
186	1947	8468
187	1956	8449
188	1965	8432
189	1973	8414
190	1982	8398
191	1992	8383
192	2004	8381
193	2015	8373
194	2025	8363
195	2034	8346
196	2043	8329
197	2052	8312
198	2060	8293
199	2069	8276
200	2077	8257
201	2086	8241
202	2094	8223
203	2103	8208
204	2112	8192
205	2120	8174
206	2129	8157
207	2138	8141
208	2146	8125
209	2155	8108
210	2164	8092
211	2174	8083
212	2183	8068
213	2195	8063
214	2205	8053
215	2217	8047
216	2226	8032
217	2234	8015
218	2244	8003
219	2252	7987
220	2261	7972
221	2270	7956
222	2279	7941
223	2287	7924
224	2296	7909
225	2305	7894
226	2313	7878
227	2322	7865
228	2331	7850
229	2340	7834
230	2348	7819
231	2357	7804
232	2366	7791
233	2376	7780
234	2386	7768
235	2395	7756
236	2408	7753
237	2420	7749
238	2432	7744
239	2440	7728
240	2449	7712
241	2457	7696
242	2465	7681
243	2475	7669
244	2484	7655
245	2493	7642
246	2502	7628
247	2510	7613
248	2519	7598
249	2528	7584
250	2536	7569
251	2545	7555
252	2553	7540
253	2563	7528
254	2572	7514
255	2582	7504
256	2591	7493
257	2602	7484
258	2613	7476
259	2625	7473
260	2635	7461
261	2644	7447
262	2652	7433
263	2660	7418
264	2669	7403
265	2678	7390
266	2686	7376
267	2695	7362
268	2703	7347
269	2713	7336
270	2722	7322
271	2730	7307
272	2738	7293
273	2747	7279
274	2756	7266
275	2764	7251
276	2772	7237
277	2782	7225
278	2791	7214
279	2800	7201
280	2812	7195
281	2822	7185
282	2834	7180
283	2842	7167
284	2851	7153
285	2860	7142
286	2869	7129
287	2878	7115
288	2887	7102
289	2896	7090
290	2904	7077
291	2913	7064
292	2922	7050
293	2931	7040
294	2940	7027
295	2949	7014
296	2958	7001
297	2966	6988
298	2975	6974
299	2983	6962
300	2993	6952
301	3003	6941
302	3013	6931
303	3025	6925
304	3035	6917
305	3045	6907
306	3054	6894
307	3062	6881
308	3071	6869
309	3082	6860
310	3093	6853
311	3102	6841
312	3111	6828
313	3120	6817
314	3129	6804
315	3137	6791
316	3146	6778
317	3154	6765
318	3163	6754
319	3172	6741
320	3181	6729
321	3189	6716
322	3199	6707
323	3208	6695
324	3247	6744
325	3278	6778
326	3289	6769
327	3298	6757
328	3310	6750
329	3318	6737
330	3327	6725
331	3336	6712
332	3344	6699
333	3352	6685
334	3361	6672
335	3369	6659
336	3378	6645
337	3386	6632
338	3394	6619
339	3403	6605
340	3412	6595
341	3421	6582
342	3431	6572
343	3441	6562
344	3451	6552
345	3459	6539
346	3468	6526
347	3476	6514
348	3485	6501
349	3493	6488
350	3502	6475
351	3510	6462
352	3518	6449
353	3527	6437
354	3535	6424
355	3543	6410
356	3552	6398
357	3561	6387
358	3570	6374
359	3578	6361
360	3586	6348
361	3595	6336
362	3603	6323
363	3613	6314
364	3622	6302
365	3631	6291
366	3642	6282
367	3660	6286
368	3669	6275
369	3678	6262
370	3686	6250
371	3695	6238
372	3703	6225
373	3711	6212
374	3720	6200
375	3729	6189
376	3737	6176
377	3745	6163
378	3754	6151
379	3762	6139
380	3771	6126
381	3779	6114
382	3787	6102
383	3796	6090
384	3805	6078
385	3813	6066
386	3823	6056
387	3832	6045
388	3843	6036
389	3854	6028
390	3865	6019
391	3873	6008
392	3881	5995
393	3891	5984
394	3899	5972
395	3908	5960
396	3916	5948
397	3924	5936
398	3933	5924
399	3941	5912
400	3950	5900
401	3958	5888
402	3968	5878
403	3976	5866
404	3985	5855
405	3993	5842
406	4001	5830
407	4010	5818
408	4019	5807
409	4029	5798
410	4038	5787
411	4048	5777
412	4059	5769
413	4069	5760
414	4079	5750
415	4088	5739
416	4097	5728
417	4106	5717
418	4115	5707
419	4124	5695
420	4132	5683
421	4140	5671
422	4149	5660
423	4158	5648
424	4166	5637
425	4175	5626
426	4184	5615
427	4194	5605
428	4203	5595
429	4212	5584
430	4220	5572
431	4230	5562
432	4239	5551
433	4247	5540
434	4259	5531
435	4268	5521
436	4278	5512
437	4287	5501
438	4296	5490
439	4305	5479
440	4314	5468
441	4322	5457
442	4331	5446
443	4340	5434
444	4348	5424
445	4357	5412
446	4365	5400
447	4374	5389
448	4382	5377
449	4390	5366
450	4399	5355
451	4407	5343
452	4415	5332
453	4425	5321
454	4433	5311
455	4442	5300
456	4453	5291
457	4464	5282
458	4472	5271
459	4481	5260
460	4489	5249
461	4498	5238
462	4507	5227
463	4516	5216
464	4525	5206
465	4535	5197
466	4545	5188
467	4555	5178
468	4563	5167
469	4572	5155
470	4581	5145
471	4590	5134
472	4598	5123
473	4607	5112
474	4615	5101
475	4623	5090
476	4634	5081
477	4642	5070
478	4652	5060
479	4662	5051
480	4673	5042
481	4682	5031
482	4690	5020
483	4698	5009
484	4707	4998
485	4715	4987
486	4724	4976
487	4733	4966
488	4741	4954
489	4750	4944
490	4759	4933
491	4767	4922
492	4775	4911
493	4784	4900
494	4792	4889
495	4800	4878
496	4810	4868
497	4818	4857
498	4826	4846
499	4836	4836
500	4844	4825
501	4853	4814
502	4863	4805
503	4873	4796
504	4883	4787
505	4893	4777
506	4901	4766
507	4910	4755
508	4918	4744
509	4927	4733
510	4935	4722
511	4944	4712
512	4952	4701
513	4961	4690
514	4970	4680
515	4979	4670
516	4987	4659
517	4995	4648
518	5003	4637
519	5012	4626
520	5020	4615
521	5029	4605
522	5039	4596
523	5048	4586
524	5058	4576
525	5070	4569
526	5080	4559
527	5088	4549
528	5097	4538
529	5105	4527
530	5113	4516
531	5121	4505
532	5131	4495
533	5139	4485
534	5148	4474
535	5156	4463
536	5165	4453
537	5174	4443
538	5182	4432
539	5190	4421
540	5200	4411
541	5208	4401
542	5216	4390
543	5224	4379
544	5233	4369
545	5242	4358
546	5250	4348
547	5259	4337
548	5271	4330
549	5281	4320
550	5290	4310
551	5298	4300
552	5307	4289
553	5315	4279
554	5324	4268
555	5332	4258
556	5340	4247
557	5350	4237
558	5358	4227
559	5367	4217
560	5376	4207
561	5385	4197
562	5393	4186
563	5402	4176
564	5410	4165
565	5419	4155
566	5428	4145
567	5436	4135
568	5445	4124
569	5454	4114
570	5465	4105
571	5475	4097
572	5484	4087
573	5494	4077
574	5502	4067
575	5511	4056
576	5520	4046
577	5528	4036
578	5537	4026
579	5546	4016
580	5554	4005
581	5562	3995
582	5571	3985
583	5580	3975
584	5588	3964
585	5597	3954
586	5605	3944
587	5613	3933
588	5622	3923
589	5631	3913
590	5641	3904
591	5650	3894
592	5660	3885
593	5669	3875
594	5680	3866
595	5690	3857
596	5701	3848
597	5710	3838
598	5720	3829
599	5730	3820
600	5740	3810
601	5750	3801
602	5759	3792
603	5769	3782
604	5778	3772
605	5787	3763
606	5798	3754
607	5808	3745
608	5817	3735
609	5826	3725
610	5835	3715
611	5844	3705
612	5853	3695
613	5861	3685
614	5872	3676
615	5881	3666
616	5890	3656
617	5898	3646
618	5907	3635
619	5915	3625
620	5923	3615
621	5932	3605
622	5941	3595
623	5951	3586
624	5960	3576
625	5969	3566
626	5978	3556
627	5987	3546
628	5997	3537
629	6006	3527
630	6016	3518
631	6025	3508
632	6036	3499
633	6045	3489
634	6054	3479
635	6063	3470
636	6072	3460
637	6082	3451
638	6092	3441
639	6103	3432
640	6112	3423
641	6121	3413
642	6130	3403
643	6138	3393
644	6147	3383
645	6156	3373
646	6166	3364
647	6176	3354
648	6186	3345
649	6196	3336
650	6206	3327
651	6215	3317
652	6224	3307
653	6237	3300
654	6247	3290
655	6256	3280
656	6265	3271
657	6275	3261
658	6285	3252
659	6295	3243
660	6323	3242
661	6335	3234
662	6348	3226
663	6357	3217
664	6367	3207
665	6375	3197
666	6383	3187
667	6392	3177
668	6401	3167
669	6409	3157
670	6418	3147
671	6427	3137
672	6435	3126
673	6445	3117
674	6454	3107
675	6463	3097
676	6471	3087
677	6480	3077
678	6491	3069
679	6500	3058
680	6508	3048
681	6517	3038
682	6525	3028
683	6533	3018
684	6542	3008
685	6550	2998
686	6558	2988
687	6568	2978
688	6576	2968
689	6584	2958
690	6593	2948
691	6601	2938
692	6609	2928
693	6617	2917
694	6626	2907
695	6634	2897
696	6645	2888
697	6655	2879
698	6663	2869
699	6672	2859
700	6683	2850
701	6693	2841
702	6702	2831
703	6710	2821
704	6719	2811
705	6728	2801
706	6736	2791
707	6744	2781
708	6753	2771
709	6762	2761
710	6770	2752
711	6778	2742
712	6787	2732
713	6796	2722
714	6804	2712
715	6812	2702
716	6823	2693
717	6832	2683
718	6842	2674
719	6850	2664
720	6859	2654
721	6868	2644
722	6878	2635
723	6889	2626
724	6898	2616
725	6906	2606
726	6915	2596
727	6923	2586
728	6932	2577
729	6940	2567
730	6949	2557
731	6957	2547
732	6966	2537
733	6974	2527
734	6983	2517
735	6991	2507
736	6999	2497
737	7007	2487
738	7015	2477
739	7025	2468
740	7033	2458
741	7043	2448
742	7051	2439
743	7061	2429
744	7070	2420
745	7080	2410
746	7088	2400
747	7098	2391
748	7109	2382
749	7117	2372
750	7127	2363
751	7137	2353
752	7146	2344
753	7157	2335
754	7166	2325
755	7176	2316
756	7185	2306
757	7194	2297
758	7205	2287
759	7214	2278
760	7223	2268
761	7233	2259
762	7242	2249
763	7253	2240
764	7262	2230
765	7272	2221
766	7282	2212
767	7290	2202
768	7302	2193
769	7311	2184
770	7322	2174
771	7332	2165
772	7341	2155
773	7351	2146
774	7362	2137
775	7370	2127
776	7380	2118
777	7391	2109
778	7400	2099
779	7410	2090
780	7419	2080
781	7429	2071
782	7439	2061
783	7448	2052
784	7459	2043
785	7469	2033
786	7478	2023
787	7488	2014
788	7497	2005
789	7507	1995
790	7516	1986
791	7533	1978
792	7563	1974
793	7580	1966
794	7595	1958
795	7605	1949
796	7620	1940
797	7630	1931
798	7639	1921
799	7649	1912
800	7659	1902
801	7668	1893
802	7677	1883
803	7685	1873
804	7695	1864
805	7705	1854
806	7714	1845
807	7724	1835
808	7732	1825
809	7742	1816
810	7750	1806
811	7759	1796
812	7768	1786
813	7776	1777
814	7785	1767
815	7793	1757
816	7802	1747
817	7810	1737
818	7819	1728
819	7827	1718
820	7835	1708
821	7844	1698
822	7852	1688
823	7861	1679
824	7870	1669
825	7879	1659
826	7888	1650
827	7902	1641
828	7913	1632
829	7921	1622
830	7930	1612
831	7939	1603
832	7948	1593
833	7959	1584
834	7969	1574
835	7979	1565
836	7987	1555
837	7996	1545
838	8005	1536
839	8015	1526
840	8025	1517
841	8034	1507
842	8044	1498
843	8053	1488
844	8063	1479
845	8072	1469
846	8081	1459
847	8090	1450
848	8100	1440
849	8109	1431
850	8118	1421
851	8127	1411
852	8135	1402
853	8144	1392
854	8152	1382
855	8161	1372
856	8169	1363
857	8178	1353
858	8187	1343
859	8195	1334
860	8203	1324
861	8212	1314
862	8220	1305
863	8229	1295
864	8237	1285
865	8246	1275
866	8254	1266
867	8263	1256
868	8272	1247
869	8281	1237
870	8290	1227
871	8300	1218
872	8309	1208
873	8318	1199
874	8327	1189
875	8337	1180
876	8347	1170
877	8355	1161
878	8364	1151
879	8373	1141
880	8382	1132
881	8391	1122
882	8400	1113
883	8410	1103
884	8419	1094
885	8428	1084
886	8438	1075
887	8447	1065
888	8456	1055
889	8465	1046
890	8474	1036
891	8483	1027
892	8492	1017
893	8502	1008
894	8511	998
895	8520	988
896	8528	979
897	8537	969
898	8545	960
899	8553	950
900	8562	940
901	8570	931
902	8579	921
903	8588	912
904	8597	902
905	8605	892
906	8614	883
907	8622	873
908	8631	864
909	8639	854
910	8649	845
911	8658	835
912	8667	825
913	8675	816
914	8685	806
915	8695	797
916	8704	787
917	8714	778
918	8722	768
919	8731	759
920	8740	749
921	8748	740
922	8758	730
923	8767	721
924	8776	711
925	8786	702
926	8795	692
927	8804	683
928	8813	673
929	8822	664
930	8837	654
931	8846	645
932	8855	635
933	8864	626
934	8873	616
935	8881	607
936	8890	597
937	8900	588
938	8909	578
939	8919	569
940	8927	559
941	8936	550
942	8945	540
943	8954	531
944	8962	521
945	8971	512
946	8980	502
947	8988	493
948	8997	483
949	9005	473
950	9014	464
951	9023	454
952	9033	445
953	9044	436
954	9052	426
955	9069	417
956	9086	408
957	9118	399
958	9188	392
959	9231	384
960	9248	375
961	9261	365
962	9269	356
963	9278	346
964	9287	336
965	9299	327
966	9307	317
967	9316	307
968	9326	298
969	9335	288
970	9345	279
971	9353	269
972	9361	259
973	9370	250
974	9378	240
975	9387	230
976	9397	221
977	9406	211
978	9417	202
979	9429	192
980	9439	182
981	9450	173
982	9458	163
983	9466	153
984	9476	144
985	9488	134
986	9496	125
987	9507	115
988	9516	105
989	9526	96
990	9536	86
991	9545	76
992	9553	67
993	9562	57
994	9571	48
995	9579	38
996	9588	28
997	9596	19
998	9605	9
999	9613	0
