iter	Logloss
0	0.6778190613
1	0.6657929557
2	0.648802948
3	0.6365653992
4	0.625517055
5	0.6135905675
6	0.6004141126
7	0.5883973258
8	0.5755798885
9	0.5625530788
10	0.5519489288
11	0.5382164546
12	0.5279780797
13	0.5177467346
14	0.5070168631
15	0.4972322736
16	0.4883975438
17	0.4790457589
18	0.4704030718
19	0.4606021336
20	0.4541301455
21	0.4455216272
22	0.4366038186
23	0.4277324404
24	0.4198348454
25	0.4103263038
26	0.4018314089
27	0.394421523
28	0.3869964055
29	0.3799804415
30	0.3727814811
31	0.3658334732
32	0.3594744274
33	0.3533593314
34	0.3463882446
35	0.3401453291
36	0.3357876914
37	0.3291949681
38	0.3226954324
39	0.316557203
40	0.3103472301
41	0.305521856
42	0.3001999991
43	0.29494727
44	0.2895326342
45	0.2844258172
46	0.2793954849
47	0.2746232714
48	0.2705753326
49	0.2652438845
50	0.2605397633
51	0.2567758833
52	0.2535487856
53	0.2497798375
54	0.2466720581
55	0.2432353156
56	0.2392047882
57	0.2348854337
58	0.2321231025
59	0.2299664089
60	0.226187924
61	0.2225114822
62	0.218775286
63	0.2157569204
64	0.2125469208
65	0.2088401249
66	0.2065582275
67	0.2043113027
68	0.2012012618
69	0.1983114651
70	0.1958204678
71	0.1932580812
72	0.1904570988
73	0.1875236511
74	0.1847576141
75	0.1818827902
76	0.1792289325
77	0.1768936157
78	0.1749158587
79	0.1726570947
80	0.1702908652
81	0.1678480693
82	0.1652459008
83	0.1628438405
84	0.1606923785
85	0.1586013249
86	0.1566198349
87	0.1542949813
88	0.1521389825
89	0.1504046849
90	0.1487545831
91	0.1470879691
92	0.1452655111
93	0.143387849
94	0.1413879258
95	0.1394494193
96	0.1380558559
97	0.1365961075
98	0.134977872
99	0.1335207667
100	0.1317613874
101	0.1301667622
102	0.1283542088
103	0.1268810408
104	0.1254441398
105	0.1238368171
106	0.1228639739
107	0.121219526
108	0.1200047084
109	0.1184971537
110	0.1170533453
111	0.1156900406
112	0.1143474851
113	0.1129130568
114	0.1118758202
115	0.1110006469
116	0.1096080916
117	0.1082202843
118	0.1070757934
119	0.1061712129
120	0.1050892421
121	0.1037298611
122	0.1030549594
123	0.1020759583
124	0.1010144166
125	0.1000123569
126	0.09886420114
127	0.09794409616
128	0.09667553902
129	0.09597628457
130	0.09488957269
131	0.09379014969
132	0.09292817797
133	0.09191340038
134	0.09113717079
135	0.0900185585
136	0.08904611043
137	0.08835721697
138	0.08756969997
139	0.0867089544
140	0.08597604207
141	0.08504924093
142	0.08434508869
143	0.08352672032
144	0.0827977453
145	0.08191806248
146	0.08118080412
147	0.08046477182
148	0.07973529271
149	0.07927942276
150	0.0785193852
151	0.07792577062
152	0.07743215561
153	0.07671489716
154	0.07599153519
155	0.07522610937
156	0.07462406158
157	0.074034432
158	0.07336785453
159	0.07272620882
160	0.07215983527
161	0.0716191428
162	0.07103813716
163	0.07035142354
164	0.06980412347
165	0.06932144846
166	0.06874729565
167	0.06821513857
168	0.06765754563
169	0.06730687278
170	0.06674374172
171	0.06627988815
172	0.06577025822
173	0.06531692232
174	0.06483310972
175	0.06440862247
176	0.06406384196
177	0.06354325839
178	0.0631681851
179	0.06282683781
180	0.06252125331
181	0.06186079979
182	0.06156198638
183	0.06129988943
184	0.06092717988
185	0.06062988554
186	0.06028075899
187	0.0598772662
188	0.05947681155
189	0.05908713341
190	0.05855058943
191	0.05818063872
192	0.05788944789
193	0.05746773311
194	0.05689578056
195	0.05640801702
196	0.05599053247
197	0.05563292503
198	0.05526148251
199	0.05489977087
200	0.0544525453
201	0.05412657942
202	0.05364600931
203	0.05325061253
204	0.05288762706
205	0.05250622204
206	0.05224965981
207	0.05200036594
208	0.05163175719
209	0.05116296496
210	0.05078858989
211	0.05049221175
212	0.05011806488
213	0.04983461244
214	0.04949404853
215	0.04916604587
216	0.04877979755
217	0.0485591071
218	0.04823163577
219	0.0479738542
220	0.04775133133
221	0.04743793351
222	0.04715120452
223	0.04681220055
224	0.0464786223
225	0.04616475786
226	0.04577580179
227	0.04549502986
228	0.0453017916
229	0.04508203779
230	0.04486684799
231	0.04466920921
232	0.04443633897
233	0.04409738268
234	0.04382874625
235	0.04359788213
236	0.04336194992
237	0.04302852154
238	0.04274438109
239	0.04252219881
240	0.04221363749
241	0.04203696592
242	0.04183502878
243	0.04158423969
244	0.04136564732
245	0.04116456168
246	0.04093153136
247	0.04070728506
248	0.04048800128
249	0.04020972252
250	0.04007548264
251	0.03982699939
252	0.03956559045
253	0.03935118403
254	0.03912687983
255	0.03892284802
256	0.03871964727
257	0.03846243109
258	0.03827568804
259	0.03814138004
260	0.03797582218
261	0.03779153143
262	0.03764978818
263	0.03744055203
264	0.03720401015
265	0.03698169163
266	0.03677104541
267	0.03645928587
268	0.03631978035
269	0.03611649786
270	0.03589437349
271	0.03567188808
272	0.03552501202
273	0.03535046577
274	0.03523203986
275	0.03507313728
276	0.03488993304
277	0.03473195008
278	0.03456099715
279	0.03442711149
280	0.03427829742
281	0.03408902373
282	0.03393934795
283	0.03383310182
284	0.03366807529
285	0.03352449962
286	0.03343105316
287	0.03324792045
288	0.03308827536
289	0.03288346699
290	0.03274566787
291	0.0325486115
292	0.03239478384
293	0.03221156257
294	0.03209393706
295	0.03194103582
296	0.03175191879
297	0.03165146623
298	0.03148555756
299	0.03129575593
300	0.03115605627
301	0.0309889555
302	0.03085126196
303	0.03068788733
304	0.03052106244
305	0.03041513988
306	0.03026046072
307	0.03014317921
308	0.03002237592
309	0.02986298289
310	0.02975570815
311	0.02958693504
312	0.0294794866
313	0.02935987881
314	0.02920464788
315	0.02905691692
316	0.028888137
317	0.02879209859
318	0.02866130556
319	0.02853177616
320	0.02839706625
321	0.02825062956
322	0.02808248997
323	0.02794133425
324	0.02779262406
325	0.02767867701
326	0.02757297584
327	0.02745203972
328	0.02734824249
329	0.02722470931
330	0.02714796577
331	0.02700768369
332	0.02688911302
333	0.02677309854
334	0.02663575411
335	0.02652663674
336	0.02644025258
337	0.02635912725
338	0.02624235664
339	0.02614217826
340	0.02599750757
341	0.02590271405
342	0.0257628543
343	0.0256362915
344	0.0255273819
345	0.02541221721
346	0.02529557773
347	0.02521529027
348	0.0251283288
349	0.0250170282
350	0.02488288198
351	0.02475566183
352	0.02463343825
353	0.02449371985
354	0.0244210141
355	0.02432117122
356	0.02423043592
357	0.02413711207
358	0.02405130523
359	0.02392001833
360	0.02382259369
361	0.02374528646
362	0.02364912033
363	0.02352086817
364	0.02343085834
365	0.02333539895
366	0.02323937416
367	0.02316040141
368	0.02306812491
369	0.02298850843
370	0.02288145849
371	0.02274496896
372	0.02264060293
373	0.02254659278
374	0.02245685373
375	0.02236873763
376	0.02224936656
377	0.02216928346
378	0.02207450867
379	0.02201009137
380	0.02191760881
381	0.02181439229
382	0.02172880513
383	0.02160316025
384	0.02151110172
385	0.02144613777
386	0.02132674967
387	0.02123912062
388	0.02117967606
389	0.02109723091
390	0.02100415059
391	0.02091020516
392	0.02081357752
393	0.02074919769
394	0.02068080902
395	0.02061900411
396	0.02053601231
397	0.02047996521
398	0.02038955688
399	0.02033753054
400	0.02026631492
401	0.02019620112
402	0.02013528347
403	0.02008203779
404	0.0200155718
405	0.01995353528
406	0.01988257851
407	0.01979365008
408	0.01974546569
409	0.01969257253
410	0.01964100429
411	0.01959964207
412	0.01951642718
413	0.01945324966
414	0.01939199993
415	0.01933377811
416	0.01925091403
417	0.0191934824
418	0.01911485706
419	0.01903555734
420	0.01896076032
421	0.01887968949
422	0.01881537608
423	0.01872781004
424	0.01868428503
425	0.01862976381
426	0.0185665369
427	0.01852447987
428	0.01849093948
429	0.01838821684
430	0.01832854748
431	0.01829332624
432	0.01822703736
433	0.0181491375
434	0.0180839198
435	0.01801712002
436	0.01795041221
437	0.01790054526
438	0.01785377094
